scenario,num_disks,seed,num_reads,num_stripes,zipf_s,policy,timeout_ms,window_id,window_start_read,window_end_read,slow_disk_a_id,slow_disk_a_state,slow_disk_b_id,slow_disk_b_state,active_slow_disks,p50_ms,p95_ms,p99_ms,issued_shard_reads,bandwidth_overhead_pct,parity_reads,proactive_or_degraded_reads,decode_count,migration_triggers,migration_true_positives,migration_false_positives
dynamic_realistic_100d_2pct_hdd,100,66,1000000,5000,1.0,health_ec,15.0,0,0,50000,98,healthy,99,healthy,0,12.5,16.8,18.8,200000,0.0,0,0,0,0,0,0
dynamic_realistic_100d_2pct_hdd,100,66,1000000,5000,1.0,health_ec,15.0,1,50000,100000,98,healthy,99,healthy,0,12.5,16.9,18.8,200000,0.0,0,0,0,0,0,0
dynamic_realistic_100d_2pct_hdd,100,66,1000000,5000,1.0,health_ec,15.0,2,100000,150000,98,healthy,99,healthy,0,12.5,16.8,18.8,200000,0.0,0,0,0,0,0,0
dynamic_realistic_100d_2pct_hdd,100,66,1000000,5000,1.0,health_ec,15.0,3,150000,200000,98,mild_slow,99,healthy,1,12.5,17.1,20.7,200288,0.1,288,288,280,5,5,0
dynamic_realistic_100d_2pct_hdd,100,66,1000000,5000,1.0,health_ec,15.0,4,200000,250000,98,mild_slow,99,healthy,1,12.5,17.0,19.6,200456,0.2,456,456,443,2,2,0
dynamic_realistic_100d_2pct_hdd,100,66,1000000,5000,1.0,health_ec,15.0,5,250000,300000,98,mild_slow,99,healthy,1,12.5,16.9,19.3,200517,0.3,517,517,508,0,0,0
dynamic_realistic_100d_2pct_hdd,100,66,1000000,5000,1.0,health_ec,15.0,6,300000,350000,98,severe_slow,99,healthy,1,12.5,17.0,19.2,200628,0.3,628,628,627,2,2,0
dynamic_realistic_100d_2pct_hdd,100,66,1000000,5000,1.0,health_ec,15.0,7,350000,400000,98,severe_slow,99,healthy,1,12.5,16.8,19.0,200636,0.3,636,636,633,1,1,0
dynamic_realistic_100d_2pct_hdd,100,66,1000000,5000,1.0,health_ec,15.0,8,400000,450000,98,severe_slow,99,healthy,1,12.5,16.8,18.9,200654,0.3,654,654,653,1,1,0
dynamic_realistic_100d_2pct_hdd,100,66,1000000,5000,1.0,health_ec,15.0,9,450000,500000,98,recovery,99,mild_slow,1,12.5,16.9,19.2,200811,0.4,811,811,799,4,4,0
dynamic_realistic_100d_2pct_hdd,100,66,1000000,5000,1.0,health_ec,15.0,10,500000,550000,98,recovery,99,mild_slow,1,12.5,16.9,19.1,200778,0.4,778,778,767,2,2,0
dynamic_realistic_100d_2pct_hdd,100,66,1000000,5000,1.0,health_ec,15.0,11,550000,600000,98,healthy,99,severe_slow,1,12.5,16.8,18.8,200718,0.4,718,718,714,2,2,0
dynamic_realistic_100d_2pct_hdd,100,66,1000000,5000,1.0,health_ec,15.0,12,600000,650000,98,healthy,99,severe_slow,1,12.5,16.8,18.9,200663,0.3,663,663,660,2,2,0
dynamic_realistic_100d_2pct_hdd,100,66,1000000,5000,1.0,health_ec,15.0,13,650000,700000,98,healthy,99,severe_slow,1,12.5,16.8,18.8,200652,0.3,652,652,651,0,0,0
dynamic_realistic_100d_2pct_hdd,100,66,1000000,5000,1.0,health_ec,15.0,14,700000,750000,98,mild_slow,99,recovery,1,12.5,17.0,19.0,200714,0.4,714,714,706,0,0,0
dynamic_realistic_100d_2pct_hdd,100,66,1000000,5000,1.0,health_ec,15.0,15,750000,800000,98,recovery,99,recovery,0,12.5,16.9,19.0,200653,0.3,653,653,616,0,0,0
dynamic_realistic_100d_2pct_hdd,100,66,1000000,5000,1.0,health_ec,15.0,16,800000,850000,98,healthy,99,healthy,0,12.5,16.8,18.8,200462,0.2,462,462,368,0,0,0
dynamic_realistic_100d_2pct_hdd,100,66,1000000,5000,1.0,health_ec,15.0,17,850000,900000,98,healthy,99,healthy,0,12.5,16.8,18.8,200206,0.1,206,206,165,0,0,0
dynamic_realistic_100d_2pct_hdd,100,66,1000000,5000,1.0,health_ec,15.0,18,900000,950000,98,healthy,99,healthy,0,12.5,16.8,18.8,200083,0.0,83,83,67,0,0,0
dynamic_realistic_100d_2pct_hdd,100,66,1000000,5000,1.0,health_ec,15.0,19,950000,1000000,98,healthy,99,healthy,0,12.5,16.8,18.7,200048,0.0,48,48,38,0,0,0
