scenario,num_disks,seed,num_reads,num_stripes,zipf_s,policy,timeout_ms,window_id,window_start_read,window_end_read,slow_disk_a_id,slow_disk_a_state,slow_disk_b_id,slow_disk_b_state,active_slow_disks,p50_ms,p95_ms,p99_ms,issued_shard_reads,bandwidth_overhead_pct,parity_reads,proactive_or_degraded_reads,decode_count,migration_triggers,migration_true_positives,migration_false_positives
dynamic_realistic_100d_2pct_hdd,100,64,1000000,5000,1.0,health_ec,15.0,0,0,50000,98,healthy,99,healthy,0,12.5,16.9,18.8,200000,0.0,0,0,0,0,0,0
dynamic_realistic_100d_2pct_hdd,100,64,1000000,5000,1.0,health_ec,15.0,1,50000,100000,98,healthy,99,healthy,0,12.5,16.8,18.8,200000,0.0,0,0,0,0,0,0
dynamic_realistic_100d_2pct_hdd,100,64,1000000,5000,1.0,health_ec,15.0,2,100000,150000,98,healthy,99,healthy,0,12.5,16.8,18.9,200000,0.0,0,0,0,0,0,0
dynamic_realistic_100d_2pct_hdd,100,64,1000000,5000,1.0,health_ec,15.0,3,150000,200000,98,mild_slow,99,healthy,1,12.5,17.1,20.7,200337,0.2,337,337,330,5,4,0
dynamic_realistic_100d_2pct_hdd,100,64,1000000,5000,1.0,health_ec,15.0,4,200000,250000,98,mild_slow,99,healthy,1,12.5,16.9,19.5,200474,0.2,474,474,459,1,1,0
dynamic_realistic_100d_2pct_hdd,100,64,1000000,5000,1.0,health_ec,15.0,5,250000,300000,98,mild_slow,99,healthy,1,12.5,16.9,19.1,200544,0.3,544,544,533,0,0,0
dynamic_realistic_100d_2pct_hdd,100,64,1000000,5000,1.0,health_ec,15.0,6,300000,350000,98,severe_slow,99,healthy,1,12.5,16.9,19.1,200593,0.3,593,593,592,3,3,0
dynamic_realistic_100d_2pct_hdd,100,64,1000000,5000,1.0,health_ec,15.0,7,350000,400000,98,severe_slow,99,healthy,1,12.5,16.8,18.9,200641,0.3,641,641,637,1,1,0
dynamic_realistic_100d_2pct_hdd,100,64,1000000,5000,1.0,health_ec,15.0,8,400000,450000,98,severe_slow,99,healthy,1,12.5,16.8,18.9,200680,0.3,680,680,677,0,0,0
dynamic_realistic_100d_2pct_hdd,100,64,1000000,5000,1.0,health_ec,15.0,9,450000,500000,98,recovery,99,mild_slow,1,12.5,17.0,19.3,200798,0.4,798,798,785,5,5,0
dynamic_realistic_100d_2pct_hdd,100,64,1000000,5000,1.0,health_ec,15.0,10,500000,550000,98,recovery,99,mild_slow,1,12.5,16.9,18.9,200806,0.4,806,806,795,1,1,0
dynamic_realistic_100d_2pct_hdd,100,64,1000000,5000,1.0,health_ec,15.0,11,550000,600000,98,healthy,99,severe_slow,1,12.5,16.8,18.9,200709,0.4,709,709,709,3,2,0
dynamic_realistic_100d_2pct_hdd,100,64,1000000,5000,1.0,health_ec,15.0,12,600000,650000,98,healthy,99,severe_slow,1,12.5,16.8,18.8,200688,0.3,688,688,685,1,1,0
dynamic_realistic_100d_2pct_hdd,100,64,1000000,5000,1.0,health_ec,15.0,13,650000,700000,98,healthy,99,severe_slow,1,12.5,16.8,18.9,200652,0.3,652,652,650,0,0,0
dynamic_realistic_100d_2pct_hdd,100,64,1000000,5000,1.0,health_ec,15.0,14,700000,750000,98,mild_slow,99,recovery,1,12.5,16.8,19.0,200625,0.3,625,625,617,0,0,0
dynamic_realistic_100d_2pct_hdd,100,64,1000000,5000,1.0,health_ec,15.0,15,750000,800000,98,recovery,99,recovery,0,12.5,16.8,18.9,200632,0.3,632,632,592,0,0,0
dynamic_realistic_100d_2pct_hdd,100,64,1000000,5000,1.0,health_ec,15.0,16,800000,850000,98,healthy,99,healthy,0,12.5,16.8,18.8,200449,0.2,449,449,358,0,0,0
dynamic_realistic_100d_2pct_hdd,100,64,1000000,5000,1.0,health_ec,15.0,17,850000,900000,98,healthy,99,healthy,0,12.5,16.8,18.8,200201,0.1,201,201,146,0,0,0
dynamic_realistic_100d_2pct_hdd,100,64,1000000,5000,1.0,health_ec,15.0,18,900000,950000,98,healthy,99,healthy,0,12.5,16.8,18.8,200114,0.1,114,114,93,0,0,0
dynamic_realistic_100d_2pct_hdd,100,64,1000000,5000,1.0,health_ec,15.0,19,950000,1000000,98,healthy,99,healthy,0,12.5,16.8,18.8,200037,0.0,37,37,30,0,0,0
