scenario,num_disks,seed,num_reads,num_stripes,zipf_s,num_windows,window_size,policy,timeout_ms,p50_ms,p95_ms,p99_ms,p99_improvement_pct,post_onset_p95_auc_ms,post_onset_p99_auc_ms,issued_shard_reads,bandwidth_overhead_pct,parity_reads,pre_slowdown_parity_reads,recovery_parity_reads,proactive_or_degraded_reads,decode_count,migration_triggers,migration_true_positives,migration_false_positives,migration_false_negatives,first_detection_latency_reads,first_mitigation_latency_reads,recovery_regret_reads,post_warmup_windowed_p99_ms,severe_window_p99_ms,read_bypass_eligible_events,read_bypass_triggered_events,read_bypass_coverage_pct
dynamic_sensitivity_100d_4pct_hdd,100,43,1000000,5000,1.0,20,50000,vanilla_ec,15.0,12.6,17.4,35.7,0.0,13.7,397.5,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,31.4,73.0,-1,-1,-1.0
dynamic_sensitivity_100d_4pct_hdd,100,43,1000000,5000,1.0,20,50000,late_binding,15.0,10.8,14.4,24.9,30.2,10.3,262.3,5000000,25.0,1000000,150000,6447,1000000,797378,0,-1,-1,-1,-1,119,18875,22.7,51.8,-1,-1,-1.0
dynamic_sensitivity_100d_4pct_hdd,100,43,1000000,5000,1.0,20,50000,timeout_degraded_read,15.0,12.6,17.4,27.1,23.9,13.3,242.5,4178582,4.5,178582,24335,5232,178582,18826,0,-1,-1,-1,119,119,9330,25.9,51.8,-1,-1,-1.0
dynamic_sensitivity_100d_4pct_hdd,100,43,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,17.2,22.3,37.6,7.7,205.7,4013584,0.3,13584,0,3784,13584,12461,6,6,0,1197,1819,1819,6528,24.3,47.1,12873,10042,78.0
