scenario,num_disks,seed,num_reads,num_stripes,zipf_s,policy,timeout_ms,read_index,window_id,stripe_id,shard_id,source_disk,target_disk,is_migration_positive,event_id,disk_state
dynamic_realistic_100d_2pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,200000,4,16,98,98,5,1,1,mild_slow
dynamic_realistic_100d_2pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,200000,4,33,198,98,5,1,1,mild_slow
dynamic_realistic_100d_2pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,250000,5,66,398,98,67,1,1,mild_slow
dynamic_realistic_100d_2pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,250000,5,83,498,98,67,1,1,mild_slow
dynamic_realistic_100d_2pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,350000,7,116,698,98,44,1,2,severe_slow
dynamic_realistic_100d_2pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,350000,7,133,798,98,44,1,2,severe_slow
dynamic_realistic_100d_2pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,500000,10,16,99,99,10,1,9,mild_slow
dynamic_realistic_100d_2pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,500000,10,33,199,99,10,1,9,mild_slow
dynamic_realistic_100d_2pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,550000,11,66,399,99,42,1,10,severe_slow
dynamic_realistic_100d_2pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,550000,11,83,499,99,42,1,10,severe_slow
dynamic_realistic_100d_2pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,600000,12,116,699,99,6,1,10,severe_slow
dynamic_realistic_100d_2pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,650000,13,133,799,99,72,1,10,severe_slow
