scenario,num_disks,seed,num_reads,num_stripes,zipf_s,policy,timeout_ms,read_index,window_id,stripe_id,shard_id,source_disk,target_disk,is_migration_positive,event_id,disk_state
dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,health_ec,15.0,250000,5,16,98,98,66,1,1,mild_slow
dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,health_ec,15.0,250000,5,33,198,98,66,1,1,mild_slow
dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,health_ec,15.0,250000,5,66,398,98,66,1,1,mild_slow
dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,health_ec,15.0,250000,5,83,498,98,66,1,1,mild_slow
dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,health_ec,15.0,350000,7,116,698,98,27,1,2,severe_slow
dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,health_ec,15.0,400000,8,133,798,98,38,1,2,severe_slow
dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,health_ec,15.0,550000,11,16,99,99,2,1,10,severe_slow
dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,health_ec,15.0,550000,11,33,199,99,82,1,10,severe_slow
dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,health_ec,15.0,550000,11,66,399,99,2,1,10,severe_slow
dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,health_ec,15.0,550000,11,83,499,99,82,1,10,severe_slow
dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,health_ec,15.0,600000,12,116,699,99,33,1,10,severe_slow
dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,health_ec,15.0,600000,12,133,799,99,33,1,10,severe_slow
