scenario,num_disks,seed,num_reads,num_stripes,zipf_s,policy,timeout_ms,read_index,window_id,stripe_id,shard_id,source_disk,target_disk,is_migration_positive,event_id,disk_state
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,250000,5,31,188,88,67,1,65,mild_slow
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,250000,5,31,187,87,49,1,57,mild_slow
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,300000,6,14,86,86,44,1,50,severe_slow
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,300000,6,13,80,80,44,1,2,severe_slow
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,350000,7,13,81,81,63,1,10,severe_slow
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,350000,7,14,87,87,63,1,58,severe_slow
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,400000,8,14,84,84,23,1,34,severe_slow
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,400000,8,14,85,85,95,1,42,severe_slow
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,450000,9,31,186,86,99,0,51,recovery
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,450000,9,31,189,89,5,0,75,recovery
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,500000,10,48,288,88,10,0,67,recovery
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,500000,10,48,289,89,20,0,75,recovery
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,550000,11,16,98,98,42,1,122,severe_slow
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,550000,11,16,96,96,59,1,112,severe_slow
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,600000,12,14,85,95,6,1,107,severe_slow
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,600000,12,16,99,99,6,1,127,severe_slow
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,650000,13,16,97,97,72,1,117,severe_slow
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,650000,13,15,91,91,72,1,87,severe_slow
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,700000,14,15,93,93,46,0,98,recovery
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,700000,14,15,90,90,48,0,83,recovery
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,750000,15,33,198,98,71,0,123,recovery
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,750000,15,33,199,99,67,0,128,recovery
