scenario,num_disks,seed,num_reads,num_stripes,zipf_s,policy,timeout_ms,window_id,window_start_read,window_end_read,slow_disk_a_id,slow_disk_a_state,slow_disk_b_id,slow_disk_b_state,active_slow_disks,p50_ms,p95_ms,p99_ms,issued_shard_reads,bandwidth_overhead_pct,parity_reads,proactive_or_degraded_reads,decode_count,migration_triggers,migration_true_positives,migration_false_positives
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,0,0,50000,80,healthy,90,healthy,0,12.5,16.8,18.8,200000,0.0,0,0,0,0,0,0
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,1,50000,100000,80,healthy,90,healthy,0,12.5,16.8,18.9,200000,0.0,0,0,0,0,0,0
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,2,100000,150000,80,healthy,90,healthy,0,12.5,16.8,18.8,200000,0.0,0,0,0,0,0,0
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,3,150000,200000,80,mild_slow,90,healthy,10,12.8,27.3,36.7,202115,1.1,2115,2115,1746,0,0,0
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,4,200000,250000,80,mild_slow,90,healthy,10,12.8,25.2,34.7,202897,1.4,2897,2897,2313,4,4,0
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,5,250000,300000,80,mild_slow,90,healthy,10,12.7,24.6,34.7,202855,1.4,2855,2855,2185,4,4,0
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,6,300000,350000,80,severe_slow,90,healthy,10,12.7,52.5,77.5,202662,1.3,2662,2662,2215,4,0,0
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,7,350000,400000,80,severe_slow,90,healthy,10,12.7,50.1,75.2,202775,1.4,2775,2775,2324,4,4,0
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,8,400000,450000,80,severe_slow,90,healthy,10,12.7,47.3,73.8,202759,1.4,2759,2759,2293,4,4,0
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,9,450000,500000,80,recovery,90,mild_slow,10,12.9,27.1,36.8,204274,2.1,4274,4274,3274,4,0,4
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,10,500000,550000,80,recovery,90,mild_slow,10,12.9,25.7,35.2,203994,2.0,3994,3994,3088,4,4,0
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,11,550000,600000,80,healthy,90,severe_slow,10,12.8,55.9,77.7,203688,1.8,3688,3688,2907,4,0,0
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,12,600000,650000,80,healthy,90,severe_slow,10,12.7,53.5,75.6,203267,1.6,3267,3267,2741,4,4,0
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,13,650000,700000,80,healthy,90,severe_slow,10,12.7,50.3,74.0,203045,1.5,3045,3045,2513,4,4,0
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,14,700000,750000,80,mild_slow,90,recovery,10,12.8,22.8,35.6,203365,1.7,3365,3365,2865,4,0,4
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,15,750000,800000,80,recovery,90,recovery,0,12.8,18.3,22.2,202592,1.3,2592,2592,2157,4,0,4
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,16,800000,850000,80,healthy,90,healthy,0,12.4,16.8,18.9,201086,0.5,1086,1086,874,0,0,0
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,17,850000,900000,80,healthy,90,healthy,0,12.5,16.8,18.8,200337,0.2,337,337,264,0,0,0
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,18,900000,950000,80,healthy,90,healthy,0,12.5,16.8,18.8,200099,0.0,99,99,75,0,0,0
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,19,950000,1000000,80,healthy,90,healthy,0,12.5,16.8,18.7,200029,0.0,29,29,25,0,0,0
