scenario,num_disks,seed,num_reads,num_stripes,zipf_s,num_windows,window_size,policy,timeout_ms,p50_ms,p95_ms,p99_ms,p99_improvement_pct,post_onset_p95_auc_ms,post_onset_p99_auc_ms,issued_shard_reads,bandwidth_overhead_pct,parity_reads,pre_slowdown_parity_reads,recovery_parity_reads,proactive_or_degraded_reads,decode_count,migration_triggers,migration_true_positives,migration_false_positives,migration_false_negatives,first_detection_latency_reads,first_mitigation_latency_reads,recovery_regret_reads,post_warmup_windowed_p99_ms,severe_window_p99_ms,read_bypass_eligible_events,read_bypass_triggered_events,read_bypass_coverage_pct
dynamic_stress_100d_20pct_hdd,100,47,1000000,5000,1.0,20,50000,late_binding,15.0,10.9,19.3,64.1,18.5,332.8,467.8,5000000,25.0,1000000,150000,20694,1000000,796126,0,-1,-1,-1,-1,17,65115,32.6,75.3,-1,-1,-1.0
dynamic_stress_100d_20pct_hdd,100,47,1000000,5000,1.0,20,50000,timeout_degraded_read,15.0,12.7,22.7,67.0,14.8,331.8,471.0,4216324,5.4,216324,24012,17119,216324,33257,0,-1,-1,-1,17,38,25750,36.3,78.8,-1,-1,-1.0
dynamic_stress_100d_20pct_hdd,100,47,1000000,5000,1.0,20,50000,health_ec,15.0,12.7,19.6,62.9,20.0,274.7,448.9,4044355,1.1,44355,0,10623,44355,35871,20,20,0,5933,464,464,14576,36.0,75.6,37362,27170,72.7
dynamic_stress_100d_20pct_hdd,100,48,1000000,5000,1.0,20,50000,vanilla_ec,15.0,12.7,23.8,78.7,0.0,396.7,609.4,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,39.8,98.2,-1,-1,-1.0
dynamic_stress_100d_20pct_hdd,100,48,1000000,5000,1.0,20,50000,late_binding,15.0,10.9,19.4,64.2,18.5,333.1,469.9,5000000,25.0,1000000,150000,20856,1000000,796252,0,-1,-1,-1,-1,7,65206,32.7,75.6,-1,-1,-1.0
dynamic_stress_100d_20pct_hdd,100,48,1000000,5000,1.0,20,50000,timeout_degraded_read,15.0,12.7,22.8,67.1,14.8,331.3,470.4,4217180,5.4,217180,24350,17368,217180,33440,0,-1,-1,-1,7,26,26106,36.2,78.9,-1,-1,-1.0
dynamic_stress_100d_20pct_hdd,100,48,1000000,5000,1.0,20,50000,health_ec,15.0,12.7,19.5,62.8,20.2,276.9,450.6,4043354,1.1,43354,0,10638,43354,35422,22,21,0,5941,242,242,14459,36.6,75.7,37456,26887,71.8
dynamic_stress_100d_20pct_hdd,100,49,1000000,5000,1.0,20,50000,vanilla_ec,15.0,12.7,23.5,79.1,0.0,396.3,618.5,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,39.7,99.8,-1,-1,-1.0
dynamic_stress_100d_20pct_hdd,100,49,1000000,5000,1.0,20,50000,late_binding,15.0,10.9,19.2,64.5,18.4,334.1,469.3,5000000,25.0,1000000,150000,20718,1000000,796114,0,-1,-1,-1,-1,3,65292,32.5,75.8,-1,-1,-1.0
dynamic_stress_100d_20pct_hdd,100,49,1000000,5000,1.0,20,50000,timeout_degraded_read,15.0,12.7,22.6,67.3,14.9,333.3,471.7,4216250,5.4,216250,24215,17205,216250,33479,0,-1,-1,-1,3,3,25840,36.0,79.1,-1,-1,-1.0
dynamic_stress_100d_20pct_hdd,100,49,1000000,5000,1.0,20,50000,health_ec,15.0,12.7,19.5,63.1,20.1,277.4,449.5,4043192,1.1,43192,0,10437,43192,35387,20,20,0,5926,197,197,14447,36.1,75.7,37003,26674,72.1
dynamic_stress_100d_20pct_hdd,100,50,1000000,5000,1.0,20,50000,vanilla_ec,15.0,12.7,23.5,78.7,0.0,393.6,616.1,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,39.7,99.7,-1,-1,-1.0
dynamic_stress_100d_20pct_hdd,100,50,1000000,5000,1.0,20,50000,late_binding,15.0,10.9,19.2,64.0,18.7,331.0,468.6,5000000,25.0,1000000,150000,20735,1000000,796958,0,-1,-1,-1,-1,1,65043,32.7,75.7,-1,-1,-1.0
dynamic_stress_100d_20pct_hdd,100,50,1000000,5000,1.0,20,50000,timeout_degraded_read,15.0,12.7,22.6,66.8,15.0,329.7,471.9,4217139,5.4,217139,24316,17260,217139,33005,0,-1,-1,-1,1,1,25833,36.1,79.3,-1,-1,-1.0
dynamic_stress_100d_20pct_hdd,100,50,1000000,5000,1.0,20,50000,health_ec,15.0,12.7,19.5,62.6,20.4,272.8,448.0,4043423,1.1,43423,0,10516,43423,35484,21,21,0,5965,718,718,14448,36.2,75.5,37238,26756,71.9
dynamic_stress_100d_20pct_hdd,100,51,1000000,5000,1.0,20,50000,vanilla_ec,15.0,12.7,23.4,78.7,0.0,394.1,612.0,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,39.9,98.7,-1,-1,-1.0
dynamic_stress_100d_20pct_hdd,100,51,1000000,5000,1.0,20,50000,late_binding,15.0,10.9,19.2,64.1,18.5,331.8,466.8,5000000,25.0,1000000,150000,20624,1000000,796511,0,-1,-1,-1,-1,8,64955,32.6,75.3,-1,-1,-1.0
dynamic_stress_100d_20pct_hdd,100,51,1000000,5000,1.0,20,50000,timeout_degraded_read,15.0,12.7,22.6,67.0,14.9,330.2,470.4,4217110,5.4,217110,24297,17100,217110,32936,0,-1,-1,-1,8,8,25790,36.2,78.9,-1,-1,-1.0
dynamic_stress_100d_20pct_hdd,100,51,1000000,5000,1.0,20,50000,health_ec,15.0,12.7,19.5,62.9,20.1,275.2,447.9,4043730,1.1,43730,0,10696,43730,35783,23,23,0,5766,326,326,14642,35.9,75.4,37104,26842,72.3
dynamic_stress_100d_20pct_hdd,100,52,1000000,5000,1.0,20,50000,vanilla_ec,15.0,12.7,23.3,78.4,0.0,393.2,606.1,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,39.9,98.1,-1,-1,-1.0
dynamic_stress_100d_20pct_hdd,100,52,1000000,5000,1.0,20,50000,late_binding,15.0,10.9,19.1,64.0,18.4,330.9,468.5,5000000,25.0,1000000,150000,20740,1000000,796546,0,-1,-1,-1,-1,14,65133,32.7,75.6,-1,-1,-1.0
dynamic_stress_100d_20pct_hdd,100,52,1000000,5000,1.0,20,50000,timeout_degraded_read,15.0,12.7,22.5,66.8,14.9,329.3,471.4,4216613,5.4,216613,24278,17279,216613,32837,0,-1,-1,-1,14,15,25837,36.2,79.1,-1,-1,-1.0
dynamic_stress_100d_20pct_hdd,100,52,1000000,5000,1.0,20,50000,health_ec,15.0,12.7,19.6,62.8,20.0,274.8,449.5,4043271,1.1,43271,0,10142,43271,35069,20,20,0,5856,259,259,13932,35.8,76.1,37237,26796,72.0
dynamic_stress_100d_20pct_hdd,100,53,1000000,5000,1.0,20,50000,vanilla_ec,15.0,12.7,23.0,78.4,0.0,390.7,615.3,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,39.8,99.7,-1,-1,-1.0
dynamic_stress_100d_20pct_hdd,100,53,1000000,5000,1.0,20,50000,late_binding,15.0,10.9,18.9,63.8,18.6,328.1,467.9,5000000,25.0,1000000,150000,20688,1000000,796015,0,-1,-1,-1,-1,16,64803,32.4,75.5,-1,-1,-1.0
dynamic_stress_100d_20pct_hdd,100,53,1000000,5000,1.0,20,50000,timeout_degraded_read,15.0,12.7,22.3,66.7,14.9,327.3,470.0,4216383,5.4,216383,24278,17113,216383,32756,0,-1,-1,-1,16,16,25653,36.1,79.0,-1,-1,-1.0
dynamic_stress_100d_20pct_hdd,100,53,1000000,5000,1.0,20,50000,health_ec,15.0,12.7,19.5,62.3,20.5,270.6,448.0,4043263,1.1,43263,0,10482,43263,35022,20,20,0,5811,953,1120,14452,36.0,75.1,36771,26412,71.8
