scenario,num_disks,seed,num_reads,num_stripes,zipf_s,num_windows,window_size,policy,timeout_ms,p50_ms,p95_ms,p99_ms,p99_improvement_pct,post_onset_p95_auc_ms,post_onset_p99_auc_ms,issued_shard_reads,bandwidth_overhead_pct,parity_reads,pre_slowdown_parity_reads,recovery_parity_reads,proactive_or_degraded_reads,decode_count,migration_triggers,migration_true_positives,migration_false_positives,migration_false_negatives,first_detection_latency_reads,first_mitigation_latency_reads,recovery_regret_reads,post_warmup_windowed_p99_ms,severe_window_p99_ms,read_bypass_eligible_events,read_bypass_triggered_events,read_bypass_coverage_pct
dynamic_sensitivity_100d_20pct_hdd,100,60,1000000,5000,1.0,20,50000,vanilla_ec,15.0,12.7,23.2,78.5,0.0,393.8,610.7,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,39.8,98.1,-1,-1,-1.0
dynamic_sensitivity_100d_20pct_hdd,100,60,1000000,5000,1.0,20,50000,late_binding,15.0,10.9,19.0,64.2,18.3,331.3,468.8,5000000,25.0,1000000,150000,20324,1000000,796104,0,-1,-1,-1,-1,23,64248,32.5,75.6,-1,-1,-1.0
dynamic_sensitivity_100d_20pct_hdd,100,60,1000000,5000,1.0,20,50000,timeout_degraded_read,15.0,12.7,22.4,67.0,14.7,330.2,470.5,4216365,5.4,216365,24376,16790,216365,32865,0,-1,-1,-1,7,58,25335,36.1,79.0,-1,-1,-1.0
dynamic_sensitivity_100d_20pct_hdd,100,60,1000000,5000,1.0,20,50000,health_ec,15.0,12.7,19.4,62.7,20.2,272.1,449.5,4043012,1.1,43012,0,10592,43012,35005,24,24,0,5623,386,386,14660,36.0,75.8,36654,26106,71.2
